name,address,Serveringstider,latitude,longitude
Amore Fantasia,Norra Storgatan 1,11:30—01:00 11:30—00:30,56.0473798,12.6954643
Aroma Restaurang,Norra Kyrkogatan 10,11:00—01:00 11:00—00:30,56.0463458,12.6951428
Backhaus Oceanhamnen,Henckels Torg 4,11:00—02:00 11:00—00:00 11:00—01:00,56.0419522,12.6919723
Badvakten,Drottninggatan 95,11:00—01:00,56.0583527,12.6821787
Banh Mi King (city),Bruksgatan 34,11:00—01:00 11:00—00:30,56.0439023,12.6970813
Bankpalatset,Järnvägsgatan 7,11:00—02:00 11:00—03:00 11:00—03:00 11:00—00:30,56.045351,12.6942831
Bar & Café Markelius Konserthuset,Roskildegatan 1,11:00—01:00,56.0493837,12.6889783
Bara Vara,Fågelsångsgatan 2,11:00—03:00 11:00—00:30 11:00—01:00,56.0493137,12.6938233
Barski,Norra Storgatan 16,11:00—01:00 11:00—23:00 11:00—01:00,56.0484558,12.694059
Bastard Burgers,Södergatan 30,11:00—01:00 11:00—22:00,56.0407438,12.7013723
Bastard Burgers Helsingborg City,Norra Kyrkogatan 12,11:00—23:00,56.0463841,12.6953185
Batteritorget kök pub glass,Batteritorget 1,11:00—01:00 11:00—00:30,55.9965228,12.7400982
Benchwarmers Brewing Co,Industrigatan 121,11:00—23:00,56.0078318,12.7256312
Benchwarmers Taproom,Helsingörskajen 2,11:00—01:00 11:00—00:30 11:00—01:00,56.0464064,12.6890168
Benchwarmers Taproom Oceanhamnen,Vågbrytargränd 2,11:00—01:00 11:00—00:30,56.041841,12.6906361
Big Buddha,Ålgränden 1,11:00—01:00 11:00—00:30,56.0488419,12.6912648
Bikten,Mariagatan 10,11:00—03:00 11:00—00:30 11:00—03:00,56.045972,12.6959438
Bistro 46,Rååvägen 46,11:00—01:00 11:00—00:30 11:00—01:00,56.0005698,12.7387284
Bistråå Strandkrog,Kustgatan 94,11:00—01:00,56.0024953,12.7321248
Black Smith Burger,Regementsvägen 4,11:00—01:00 11:00—00:30 11:00—01:00,56.0632637,12.7174833
Blå Tuppen,Väla Centrum,11:00—01:00,56.0916312,12.7575316
Bollbrolyckan,Bollbrogatan 4 - 6,11:00—01:00 01:00—03:00 11:00—00:30 11:00—01:00,56.0418557,12.6995472
Bosco,Drottninggatan 15,11:00—01:00 11:00—00:30 11:00—01:00,56.0489268,12.6896722
Brasserie Le Coq Rouge,Bruksgatan 19,11:00—01:00 11:00—00:00 11:00—01:00,56.0446367,12.6968708
Brasseriet,Redaregatan 50,10:00—03:00 10:00—01:00 10:00—03:00 01:00—03:00,56.0424592,12.6908063
Brewski Brew,Cindersgatan 8,11:00—01:00 11:00—01:00,56.0332491,12.7050933
Brunchoteket,Drottninggatan 14,11:00—23:00 11:00—23:00,56.0473605,12.6920651
Brutale,Drottninggatan 20-22,11:00—01:00 11:00—00:30 11:00—01:00,56.0473753,12.6916051
Brödernas Helsingborg Central,Kungstorget 8,11:00—01:00,56.0442787,12.6944725
Bullangeriet Fikabar,Kullagatan 8,11:00—18:00 11:00—23:00,56.0475732,12.6941246
Bulls Biljard,Norra Strandgatan 32,11:00—02:00,56.0483804,12.6919246
Bågen Mat & Bar i Maria Park,Grepgatan 38,11:00—22:00 11:00—00:00 11:00—22:00 11:00—00:00,56.0809982,12.7052243
Båten Restaurang & Bar,Helsingörskajen 102,11:00—02:30 11:00—00:30 11:00—00:30,56.0464751,12.6897052
Café & Restaurang Tegel,Ytterövägen 167,11:00—01:00 11:00—01:00,55.9684354,12.7588993
Café 1886 AB,Drottninggatan 30,10:00—01:00 10:00—00:30,56.0482727,12.691432
Café Due,Mariagatan 2,11:00—01:00 11:00—00:30,56.046414,12.6955043
Cafe Etoile,Drottninggatan 27,11:00—01:00 11:00—01:00 11:00—01:00,56.0514257,12.6878103
Café Henry,Kungsgatan 11,11:00—01:00 11:00—00:30 01:00—03:00 11:00—01:00,56.0476267,12.6889117
Café Mezo/Firavîn,Södra Storgatan 3,11:00—03:00 11:00—01:00 03:00—05:00,56.046926,12.6963894
Café Ray,Södra Storgatan 39 A,10:00—00:00,56.0447095,12.6999359
Cafe Viva,Södra Storgatan 6,11:00—01:00 11:00—00:30 11:00—01:00,56.0461048,12.6974191
Centralen,Kungstorget 8,11:00—01:00 11:00—01:00,56.0442787,12.6944725
Chateau Foret,Södra Storgatan 19,11:00—01:00 11:00—00:00,56.0459091,12.698658
Chattanoga,Stattena Centrum,11:00—01:00,56.05738,12.7013185
Chiang Mai Thai Kitchen,Bruksgatan 29,11:00—01:00 11:00—23:00,56.0438484,12.6982532
Chili Mexican Grill,Kungstorget/Järnvägsgatan 2,11:30—01:00,56.0444,12.6929
China Town,Sundstorget 5,11:00—01:00 11:00—23:00,56.0486282,12.6898302
Clarion Hotel Sea U,Kungsgatan 1,11:00—03:00 11:00—01:00 11:00—01:00,56.046121,12.68985
Curry Nam Nam,Bruksgatan 10,11:00—24:00 11:00—00:00,56.0454517,12.69599
Diné Burgers,Södra Kyrkogatan 12,11:00—01:00 11:00—01:00 11:00—00:30,56.0458926,12.6962423
Diplomat & Bar,Sundstorget 3,11:00—00:30 11:00—01:00,56.0484374,12.6894736
Drottninggatan 35,Drottninggatan 35,11:00—01:00,56.0522112,12.686655
Elite Hotel Marina Plaza,Kungstorget 6,11:00—03:00 11:00—01:00 11:00—01:00,56.044346,12.6925982
Elite Hotel Mollberg,Stortorget 18,11:00—03:00 11:00—01:00 11:00—01:00 11:00—01:00,56.0469692,12.6957707
Ett litet Makeri,Kungsgatan 12,11:00—24:00 11:00—24:00,56.0472252,12.6900931
Fabriken Helsingborg,Rönnowsgatan 8 C,11:00—01:00,56.0376489,12.6992631
Fahlmans,Stortorget 11,11:00—01:00 11:00—22:00,56.0468848,12.6946071
First Camp Råå Vallar,Kustgatan,11:00—01:00 11:00—01:00,55.9984167,12.7382197
Fisk och skaldjur by Anette,Marknadsvägen 9,11:00—01:00 11:00—01:00 11:00—01:00,56.09153,12.75698
Fredriksborgs Gård,Pålstorpsvägen 115,11:00—01:00 01:00—02:00,55.9947965,12.7757672
Fria Bad & Bar,Drottninggatan 95,11:00—01:00 11:00—02:00 11:00—01:00 11:00—02:00,56.0583527,12.6821787
Frimurarlogernas Restaurant,Stortorget 4,12:00—01:00,56.0461923,12.6940472
G o Co,Marknadsvägen 9,11:00—01:00,56.09153,12.75698
Gents,Lilla Torggatan 3,10:00—01:00,56.0465888,12.6952756
Goa Humlan,Malmögatan 2,11:00—01:00 11:00—00:30,56.0436287,12.7099744
Goa Punkten,Gasverksgatan 35,11:00—03:00 11:00—00:30,56.0407704,12.7049516
Good Morning + Helsingborg,Gustav Adolfs Gata 47,11:00—01:00 11:00—03:00 11:00—01:00,56.0358229,12.7119431
Grekiska Kolgrillen,"Väla Restaurangtorget, Marknadsv 9",11:00—01:00,56.0921,12.7568
Grytan Restaurang,Industrigatan 70,11:00—01:00,56.0130617,12.7175101
Grytan Restaurang - Rya golfklubb,Rya Golfbanevägen 20,10:00—01:00,55.976,12.7565
Haket Restaurang,Kullagatan 55,11:00—01:00 11:00—00:30,56.0497027,12.6908346
Hamnkrogen,Hamntorget 2,11:00—02:00 11:00—01:00,56.0456253,12.692419
Happy Asian Food Restaurang,Ginstgatan 3,11:00—22:00,56.107559,12.7486282
Havslyckan,Parapeten 1,11:00—01:00 11:00—01:00 01:00—03:00 11:00—01:00 11:00—01:00,56.0457685,12.6862622
Helsingborg Arena Restaurang,Mellersta Stenbocksgatan 14,11:00—01:00 11:00—00:00,56.0529038,12.7047386
Helsingborgen,Furutorpsgatan 47,11:00—03:00 11:00—00:30,56.0382314,12.707324
Helsingborgs stadsteater,Karl Johans gata 1,11:00—01:00 11:00—02:00 11:00—00:00 11:00—00:00 12:00—00:00,56.0509702,12.6878945
Helsingörskajen 10,Helsingörskajen 10,11:00—01:00 11:00—00:00,56.046644,12.6888562
Home Hotel Grand Helsingborg,Stortorget 8-12,11:00—03:00 11:00—01:00 11:00—01:00,56.0464793,12.6945916
Hotel Linnéa,Prästgatan 4,10:00—00:00 07:00—10:00,56.0438761,12.6962745
Hotell Stadsparken,Bruksgatan 40,12:00—00:00 12:00—22:00,56.0435313,12.6974396
Hygge Restaurang & Bar,Sundstorget 5,11:00—01:00 11:00—00:30 00:30—01:00,56.0486282,12.6898302
Hålan,Billeplatsen 1,11:00—03:00 11:00—00:30,56.0467484,12.6969268
Hörnet,Roskildegatan 2,11:00—01:00 11:00—00:30 11:00—01:00,56.0490938,12.6889787
Icha Mochi,Hjälmhultsgatan 8,11:00—23:00 11:00—23:00,56.0558,12.6967
Icha Mochi City AB,Sundstorget 1-3,11:00—03:00 11:00—01:00 11:00—01:00,56.048162,12.690069
Il Mio Ristorante,Kungsgatan 2,11:00—23:00 12:00—01:00 11:00—23:00 12:00—00:30,56.0459869,12.690979
Indian Zayka,Bruksgatan 25,11:00—00:00 11:00—00:00,56.0441753,12.6971699
Italy Espresso House,Bruksgatan 30,11:00—22:00 11:00—00:00,56.0444362,12.6967462
K- Gränd,Kolmätaregränden 7,11:00—01:00 11:00—00:30,56.0475332,12.6931672
Kajgatan 1,Kajgatan 1,11:00—01:00,55.9940333,12.7426962
Khai & Mui,Kaliforniegatan 13,11:00—01:00 11:00—00:30,56.0405206,12.6995777
Kings Corner,Drottninggatan 1,11:00—01:00 01:00—03:00 11:00—01:00,56.0462359,12.6921103
Kol & Cocktails,Södra storgatan 11-13,11:00—03:00 11:00—01:00 11:00—00:30,56.0458756,12.6978848
Koreana,Bruksgatan 30,10:30—23:00 10:30—23:00,56.0444362,12.6967462
Krogen Wallåkra,Drejarestigen,11:00—01:00 11:00—01:00,55.9619121,12.8536815
Kryp In Café Vinbar,Mariagatan 4,11:00—01:00 11:00—00:30,56.0463932,12.6955169
Kök 74,Drottninggatan 74,11:30—23:00,56.0508023,12.6890083
Köket,Sjögatan 1,15:00—00:00 15:00—00:00,56.0383619,12.6967228
Laserdome,Södergatan 6,11:00—01:00,56.0427782,12.7008816
Lilla Bruket Tågaborg,Tågagatan 31,10:00—23:00 10:00—22:00,56.0556483,12.690124
Lilla spanjoren,Kullagatan 60,11:00—01:00,56.0500451,12.690363
Linnea & Basilika,Drottninggatan 17,11:00—21:30 11:00—22:30,56.0492256,12.6899371
Linnéaträdgården,Mariehällsvägen 100,11:00—01:00 11:00—00:30 11:00—23:30 11:00—03:00,56.0830544,12.6855996
Lion Bar Helsingborg,Bruksgatan 2,11:00—03:00 14:00—00:30,56.0455686,12.6958775
Loftet,Tursköpsvägen 154,11:00—01:00 11:00—01:00,56.1324421,12.7146902
Lottenlund Estate Events,Lottenlundsvägen 2,11:00—23:00,56.1029178,12.7015027
M/S Tilda,Kungstorget 6/ Öresund ( fartyg ),11:00—03:00 11:00—01:00,56.04442,12.69293
Machu Picchu Andres,Kajpromenaden 10,11:00—01:00 11:00—00:30 11:00—01:00,56.0486787,12.6874159
Madame Moustache,Norra Storgatan 9,11:00—01:00 11:00—03:00 11:00—00:00 11:30—00:00,56.0477109,12.6946895
Mammas Kök,Rååvägen 31,11:00—01:00 11:00—00:30,55.9994519,12.7398447
MAVI,Fågelsångsgatan 1,12:00—01:00,56.0488387,12.6933788
Miatorps Pizzeria & Restaurang,Planteringsvägen 111,11:00—23:00,56.0186365,12.7213215
Milano Restaurang & Pizzeria,Ättekullagatan 2,11:00—01:00 11:00—01:00,56.0123996,12.7601209
Mindpark,Rönnowsgatan 8 C,11:30—01:00,56.0376489,12.6992631
Miss Alice Krog & Butik,Aspavägen 418,11:00—01:00,55.9545902,12.8330811
Myzuki,Elinebergsplatsen 5,11:00—23:00,56.0284505,12.72585
Mörarps Pizzeria,Bjuvsleden 11,11:00—22:00,56.0577985,12.8787211
Nabo Matbar,Drottninggatan 124,11:00—01:00 11:00—00:30,56.0542557,12.6853901
Nancy´s Steakhouse,Marknadsvägen 9,11:00—01:00,56.09153,12.75698
Nihon Sushi,Badhusgatan 6,11:00—01:00 11:00—00:30,56.0468347,12.6915671
NOC/H,Bruksgatan 2,11:00—03:00 03:00—05:00,56.0455686,12.6958775
Noise,S Kyrkogatan 7,11:00—03:00 03:00—05:00,56.0458061,12.6954867
Norrbro Kök & Bar,Norrbroplatsen 7,11:00—01:00 11:00—00:30 11:00—01:00,56.056353,12.701454
O´Learys Sportsbar,Rådhustorget 10,11:00—03:00 11:00—02:00 11:00—01:00 11:00—00:30,56.0472308,12.6929205
Odd Fellow,Trädgårdsgatan 13,11:00—01:00,56.0436155,12.6984848
Old Times,Bruksgatan 24,11:00—01:00 11:00—00:30,56.0447269,12.6966653
Olsons Skafferi,Mariagatan 6,11:00—01:00 11:00—00:30 11:00—00:30 11:00—01:00,56.0462363,12.6956144
Olympia,Filbornavägen 5,11:00—01:00 11:00—01:00 11:00—01:00 11:00—01:00,56.049833,12.7077122
Olympia Bowling,Idrottens Hus,11:00—03:00 11:00—01:00,56.0518042,12.7058555
Olympia Restaurang & Pizzeria,Magnus Erikssons gata 8,11:00—23:00,56.0487449,12.7047479
Omakaze Sushi,Rydebäcks stationsgatan 51,15:00—21:00 15:00—22:00,55.9663,12.7822
OSS Kitchen,Himmelriksgränden 2,11:00—22:00 11:00—01:00 11:00—00:00,56.0460079,12.6981386
Oxhallen,Cindersgatan 4,11:00—01:00 11:00—00:30,56.0323687,12.7063022
Parapeten,"Hamnpiren, Norra Hamnen",11:00—01:00 11:00—03:00,56.0446,12.6863
Pausa hos oss - Fredriksdal,Oscar trapps väg 10,11:00—16:00 16:00—20:00,56.0571616,12.7127028
Pellegrino,Norra Storgatan 15,11:00—01:00 11:00—00:30,56.0482948,12.6938222
Phuun Thai,Hamntorget 3,11:00—00:00 11:00—00:00,56.0461211,12.6915319
Phuun Thai Heden,Planteringsvägen 112,11:00—21:00,56.0156329,12.7226451
Pikado,Landskronavägen 1-3,11:00—03:00,56.0014655,12.7423862
Pinchos Söder,Södergatan 32,11:00—01:00,56.0402928,12.7013881
Pitcher´s,Södergatan 32,11:00—03:00 11:00—00:30,56.0402928,12.7013881
Primo Il Forno,Tågagatan 74,11:00—00:00 11:00—00:00,56.0607382,12.6957849
Pronto i Påarp,Ekebergavägen 3,11:00—00:00 11:00—00:00,56.0297206,12.813673
Pub Nessie,Möllegränden 3,11:00—01:00 11:00—00:30,56.0449809,12.6954615
På Piren,Hamnplan,11:00—01:00 11:00—01:00 11:00—01:00 11:00—01:00,55.99517,12.74547
Påarps Pizzeria,Lokföraregatan 24,11:00—00:30,56.0289684,12.8148755
Pålsjö Krog,Drottninggatan 151,11:00—01:00 11:00—01:00 11:00—01:00,56.0644841,12.6781381
Pålsjöpaviljongen,Pålsjöpaviljongen 2,11:00—01:00 11:00—01:00,56.069861,12.685528
Radisson Blu Hotel Metropol,Carl Krooks gata 16,11:00—03:00 11:00—00:30 11:00—01:00,56.0407868,12.7001613
Regio,Drottninggatan 100,11:00—01:00 11:00—01:00,56.0523377,12.6870299
Restaurang & Pizzeria i Bårslöv,Snödroppegatan 1,12:00—22:00,56.0086925,12.8089449
Restaurang Ankaret Råå,Västindiegatan 22,12:00—00:00 12:00—00:00,55.9915876,12.7458053
Restaurang Babou,Kajpromenaden 21,11:00—01:00 11:00—00:30,56.0507472,12.6853024
Restaurang Créo,Bruksgatan 18,11:30—02:00 11:00—02:00,56.0451333,12.6962882
Restaurang Edelweiss,Drottninggatan 15,11:00—01:00 11:00—01:00 11:00—00:30,56.0489268,12.6896722
Restaurang Le Cardinal,Södra Kyrkogatan 9,11:00—03:00 11:00—04:00 11:00—05:00,56.045938,12.6956085
Restaurang Marconi,Drottninggatan 72,11:00—22:00 11:00—22:00,56.0506858,12.689142
Restaurang Pub Ro,Båthusgatan 11,11:00—01:00 11:00—00:30,56.0506188,12.6847563
Restaurang Yoko,Järnvägsgatan 3,11:00—03:00 11:00—01:00 11:00—01:00 03:00—05:00,56.0458151,12.6938086
Restaurangskolan,"Hamnpaviljongen, Parapeten",11:00—15:00 11:00—01:00,56.0446,12.6863
Rocco´s Wine & Dine,Båthusgatan 15,11:00—01:00 11:00—00:00 11:00—00:00,56.0500244,12.6841353
Rodis Pizzeria,Blåkullagatan 3,11:00—01:00 11:00—00:30,56.0622847,12.7275148
Rosendal Slott,Rosendal 107,11:00—01:00 11:00—00:30,56.0903302,12.8300175
Rosengårdens pizzeria & restaurang,Skaragatan 90,11:00—00:30,56.0501817,12.7271419
Roys Fisk o Servering,Kajpromenaden 21,11:00—01:00 11:00—00:30,56.0507472,12.6853024
Rydebäcks Pizzeria,Frösgatan 7,11:00—01:00 11:00—00:30,55.9663,12.775
Röda Kvarn,Karlsgatan 7,16:30—22:00 11:00—01:00,56.045201,12.6977553
Sams Bar,Carl Krooks gata 50,11:00—03:00 11:00—00:30,56.0373522,12.7024143
Scandic Go Gasverksgatan 11,Gasverksgatan 11,11:00—01:00,56.041043,12.6996601
Scandic Hotel,Florettgatan 41,11:00—01:00 11:00—01:00,56.0778544,12.7295239
Scandic Oceanhamnen,Bröderna Pihls gränd 2,11:00—01:00 11:00—01:00 11:00—00:30,56.042283,12.6898271
Shark,Södra storgatan 16,11:00—22:00,56.0454706,12.6986322
Sillen & Makrillen,Norra Gröningen 1,11:00—02:00 11:00—01:00 02:00—03:00,56.0557,12.6827
Skonaren Nina,Kajpromenaden,12:00—01:00,56.0493296,12.6868078
Small Britain,"Rosendals Slott - Kalvstallet, Rosendals",11:00—01:00 11:00—01:00,56.0904,12.8298
Sofiero Slott,Sofierovägen 31,11:00—02:00 11:00—01:00 11:00—02:00,56.0776126,12.6646167
Sofiero slottsrestaurang Orangeriet,Sofierovägen 131,11:00—02:00 11:00—01:00 11:00—01:00,56.0839018,12.6596728
Soho no.5,Drottninghögsvägen 5,11:00—01:00,56.0671239,12.7235458
Sorella,Drottninggatan 88,11:00—22:30 11:00—21:30,56.0516504,12.6881329
Spectrum,Kullagatan 47,12:00—01:00 12:00—23:30 11:00—01:00,56.0493337,12.6911833
Spelpalatset,Gasverksgatan 22,11:00—01:00,56.0409634,12.7024402
Strandhuset,Drottninggatan 251,11:30—01:00 12:00—00:30 11:00—01:00,56.0724385,12.6685304
Stubinen,Drottninggatan 30,11:00—01:00 11:00—00:30,56.0482727,12.691432
Sundsgårdens Folkhögskola,Örbyvägen 10,11:00—01:00 11:00—01:00,55.9873601,12.7579859
Suriyo Thai,Pålsjögatan 8,11:00—21:00 11:00—21:30,56.0555756,12.6945739
Taco Bar Helsingborg,Södergatan 11,11:00—01:00 11:00—00:30,56.0411335,12.7020106
Taj Mahal,Drottninggatan 24,11:00—01:00 11:00—00:00,56.0479961,12.6916296
Takami Sushi,Södra Kyrkogatan 20,11:00—23:00 11:00—22:00,56.0460186,12.6967172
Tapasbar La Venta,Mariagatan 8,11:00—01:00 11:00—00:00,56.0461108,12.6955139
Telegrafen,Norra Storgatan 14,11:00—02:00 11:00—23:00,56.0482015,12.6942519
Teo´s Kök & Bar,Södergatan 60,11:00—01:00 11:00—00:30,56.0391091,12.7023573
Thai Corner,Bruksgatan 34,11:00—01:00,56.0439023,12.6970813
Thaikrogen,Kurirgatan 1,11:00—01:00 11:00—00:30,56.0653549,12.7005411
The Filthy Fisherman,Kolmätaregränden 8,11:00—01:00 11:00—00:30,56.0475202,12.6934536
The South Indian,S:t Jörgens plats 8,11:00—23:00 11:00—01:00,56.0503777,12.6911989
The Tivoli,Köpenhamnskajen 1,11:00—03:00 11:00—01:00 11:00—01:00 03:00—05:00,56.04534,12.69066
The Vault Hotel,Stortorget 20,11:00—01:00 11:00—02:00 11:00—00:00,56.0471492,12.6961524
Timjan & Tång,Kajpromenaden 6,11:00—01:00 11:30—23:30,56.0484377,12.6875493
Torget,Sundstorget 7,11:00—01:00 11:00—00:30,56.048593,12.6901805
Trappan 1899,Slottshagsgatan 1,11:00—01:00,56.0486625,12.6978846
Trivas på Råå,Rååvägen 20,11:00—01:00 11:00—01:00 11:00—00:30,55.9989769,12.74095
Troppan,Parapeten 1,11:00—01:00,56.0457685,12.6862622
Tågvagnen,Gröningen,11:00—00:00 11:00—01:00,56.0551489,12.6832459
Utposten,"Stortorget 17, Box 1121",11:00—03:00 11:00—01:00,56.0474178,12.6959072
Utsikten,Kajpromenaden 14,11:00—23:00,56.0491891,12.6870382
Vagnhall 16,Gåsebäcksvägen 2,11:00—23:00 11:00—01:00 11:00—00:30 23:00—03:00 01:00—03:00 23:00—00:30,56.0344413,12.7072573
Vasatorp Golfrestaurang,Vasatorpallén 54,10:00—01:00 10:00—01:00 11:00—01:00,56.058,12.7885
Waynes Coffee,Rådhustorget 12,11:00—20:00 11:00—20:00,56.0472716,12.6925039
Ved By Maria,Södra kyrkogatan 22,11:00—01:00 11:00—00:00 11:00—23:00 11:00—22:00,56.0460779,12.6968426
Vegeriet,Järnvägsgatan 25,11:00—01:00 11:00—00:00,56.0435149,12.6963418
Venezia Pizzeria,Centralgatan 10,11:00—01:00 11:00—00:30,56.1062362,12.7486172
Viking bar,Gasverksgatan 13,11:00—02:00 11:00—00:30 11:00—00:30,56.041028,12.700264
Villa Thalassa,Dag Hamarskjölds Väg 117,11:00—03:00 11:00—01:00,56.0709,12.6744
Wok Express,Södra Brunnsvägen 57,11:00—01:00 11:00—21:00,56.0205141,12.7513244
YA-HA Kök & Bar,Kajpromenaden 2,11:00—01:00 11:00—23:30,56.0481092,12.6877849
Yammi Söder,Södergatan 30,11:00—01:00 11:00—00:30,56.0407438,12.7013723
Yazhou,Gasverksgatan 15,11:00—02:00 11:00—00:30,56.0410681,12.7008051
Zoom Bar & Restaurang,Norra Kyrkogatan 15,10:00—01:00 10:00—00:30 11:00—01:00 01:00—03:00 03:00—05:00,56.0464663,12.6954498
Zushi Helsingborg,Karlsgatan 1A,11:00—01:00 11:00—00:00,56.0446129,12.697122
Zushi Ocean,Oceankajen 2,11:00—00:00 11:00—01:00 11:00—00:00,56.0408159,12.6914488
Ålgrändens Ost & Deli,Ålgränden 6,12:00—00:00 12:00—00:00,56.04878,12.6914654
Åliven Helsingborg,Kullavägen 57,11:00—01:00,56.0668308,12.7062828
Ödåkra Brygghus,Fabriksgatan 2,12:00—22:00 12:00—22:00,56.1031357,12.7424362
