Namn,Postadress,Sprit,Vin,Starköl,AJA,ALP,Serveringstider
Amore Fantasia,Norra Storgatan 1,,,,,,11:30—01:00 11:30—00:30
Aroma Restaurang,Norra Kyrkogatan 10,,,,,,11:00—01:00 11:00—00:30
Backhaus Oceanhamnen,Henckels Torg 4,,,,,,11:00—02:00 11:00—00:00 11:00—01:00
Badvakten,Drottninggatan 95,,,,,,11:00—01:00
Banh Mi King (city),Bruksgatan 34,,,,,,11:00—01:00 11:00—00:30
Bankpalatset,Järnvägsgatan 7,,,,,,11:00—02:00 11:00—03:00 11:00—03:00 11:00—00:30
Bar & Café Markelius Konserthuset,Roskildegatan 1,,,,,,11:00—01:00
Bara Vara,Fågelsångsgatan 2,,,,,,11:00—03:00 11:00—00:30 11:00—01:00
Barski,Norra Storgatan 16,,,,,,11:00—01:00 11:00—23:00 11:00—01:00
Bastard Burgers,Södergatan 30,,,,,,11:00—01:00 11:00—22:00
Bastard Burgers Helsingborg City,Norra Kyrkogatan 12,,,,,,11:00—23:00
Batteritorget kök pub glass,Batteritorget 1,,,,,,11:00—01:00 11:00—00:30
Benchwarmers Brewing Co,Industrigatan 121,,,,,,11:00—23:00
Benchwarmers Taproom,Helsingörskajen 2,,,,,,11:00—01:00 11:00—00:30 11:00—01:00
Benchwarmers Taproom Oceanhamnen,Vågbrytargränd 2,,,,,,11:00—01:00 11:00—00:30
Big Buddha,Ålgränden 1,,,,,,11:00—01:00 11:00—00:30
Bikten,Mariagatan 10,,,,,,11:00—03:00 11:00—00:30 11:00—03:00
Bistro 46,Rååvägen 46,,,,,,11:00—01:00 11:00—00:30 11:00—01:00
Bistråå Strandkrog,Kustgatan 94,,,,,,11:00—01:00
Black Smith Burger,Regementsvägen 4,,,,,,11:00—01:00 11:00—00:30 11:00—01:00
Blå Tuppen,Väla Centrum,,,,,,11:00—01:00
Bollbrolyckan,Bollbrogatan 4 - 6,,,,,,11:00—01:00 01:00—03:00 11:00—00:30 11:00—01:00
Bosco,Drottninggatan 15,,,,,,11:00—01:00 11:00—00:30 11:00—01:00
Brasserie Le Coq Rouge,Bruksgatan 19,,,,,,11:00—01:00 11:00—00:00 11:00—01:00
Brasseriet,Redaregatan 50,,,,,,10:00—03:00 10:00—01:00 10:00—03:00 01:00—03:00
Brewski Brew,Cindersgatan 8,,,,,,11:00—01:00 11:00—01:00
Brunchoteket,Drottninggatan 14,,,,,,11:00—23:00 11:00—23:00
Brutale,Drottninggatan 20-22,,,,,,11:00—01:00 11:00—00:30 11:00—01:00
Brödernas Helsingborg Central,Kungstorget 8,,,,,,11:00—01:00
Bullangeriet Fikabar,Kullagatan 8,,,,,,11:00—18:00 11:00—23:00
Bulls Biljard,Norra Strandgatan 32,,,,,,11:00—02:00
Bågen Mat & Bar i Maria Park,Grepgatan 38,,,,,,11:00—22:00 11:00—00:00 11:00—22:00 11:00—00:00
Båten Restaurang & Bar,Helsingörskajen 102,,,,,,11:00—02:30 11:00—00:30 11:00—00:30
Café & Restaurang Tegel,Ytterövägen 167,,,,,,11:00—01:00 11:00—01:00
Café 1886 AB,Drottninggatan 30,,,,,,10:00—01:00 10:00—00:30
Café Due,Mariagatan 2,,,,,,11:00—01:00 11:00—00:30
Cafe Etoile,Drottninggatan 27,,,,,,11:00—01:00 11:00—01:00 11:00—01:00
Café Henry,Kungsgatan 11,,,,,,11:00—01:00 11:00—00:30 01:00—03:00 11:00—01:00
Café Mezo/Firavîn,Södra Storgatan 3,,,,,,11:00—03:00 11:00—01:00 03:00—05:00
Café Ray,Södra Storgatan 39 A,,,,,,10:00—00:00
Cafe Viva,Södra Storgatan 6,,,,,,11:00—01:00 11:00—00:30 11:00—01:00
Centralen,Kungstorget 8,,,,,,11:00—01:00 11:00—01:00
Chateau Foret,Södra Storgatan 19,,,,,,11:00—01:00 11:00—00:00
Chattanoga,Stattena Centrum,,,,,,11:00—01:00
Chiang Mai Thai Kitchen,Bruksgatan 29,,,,,,11:00—01:00 11:00—23:00
Chili Mexican Grill,Kungstorget/Järnvägsgatan 2,,,,,,11:30—01:00
China Town,Sundstorget 5,,,,,,11:00—01:00 11:00—23:00
Clarion Hotel Sea U,Kungsgatan 1,,,,,,11:00—03:00 11:00—01:00 11:00—01:00
Curry Nam Nam,Bruksgatan 10,,,,,,11:00—24:00 11:00—00:00
Diné Burgers,Södra Kyrkogatan 12,,,,,,11:00—01:00 11:00—01:00 11:00—00:30
Diplomat & Bar,Sundstorget 3,,,,,,11:00—00:30 11:00—01:00
Drottninggatan 35,Drottninggatan 35,,,,,,11:00—01:00
Elite Hotel Marina Plaza,Kungstorget 6,,,,,,11:00—03:00 11:00—01:00 11:00—01:00
Elite Hotel Mollberg,Stortorget 18,,,,,,11:00—03:00 11:00—01:00 11:00—01:00 11:00—01:00
Ett litet Makeri,Kungsgatan 12,,,,,,11:00—24:00 11:00—24:00
Fabriken Helsingborg,Rönnowsgatan 8 C,,,,,,11:00—01:00
Fahlmans,Stortorget 11,,,,,,11:00—01:00 11:00—22:00
First Camp Råå Vallar,Kustgatan,,,,,,11:00—01:00 11:00—01:00
Fisk och skaldjur by Anette,Marknadsvägen 9,,,,,,11:00—01:00 11:00—01:00 11:00—01:00
Fredriksborgs Gård,Pålstorpsvägen 115,,,,,,11:00—01:00 01:00—02:00
Fria Bad & Bar,Drottninggatan 95,,,,,,11:00—01:00 11:00—02:00 11:00—01:00 11:00—02:00
Frimurarlogernas Restaurant,Stortorget 4,,,,,,12:00—01:00
G o Co,Marknadsvägen 9,,,,,,11:00—01:00
Gents,Lilla Torggatan 3,,,,,,10:00—01:00
Goa Humlan,Malmögatan 2,,,,,,11:00—01:00 11:00—00:30
Goa Punkten,Gasverksgatan 35,,,,,,11:00—03:00 11:00—00:30
Good Morning + Helsingborg,Gustav Adolfs Gata 47,,,,,,11:00—01:00 11:00—03:00 11:00—01:00
Grekiska Kolgrillen,"Väla Restaurangtorget, Marknadsv 9",,,,,,11:00—01:00
Grytan Restaurang,Industrigatan 70,,,,,,11:00—01:00
Grytan Restaurang - Rya golfklubb,Rya Golfbanevägen 20,,,,,,10:00—01:00
Haket Restaurang,Kullagatan 55,,,,,,11:00—01:00 11:00—00:30
Hamnkrogen,Hamntorget 2,,,,,,11:00—02:00 11:00—01:00
Happy Asian Food Restaurang,Ginstgatan 3,,,,,,11:00—22:00
Havslyckan,Parapeten 1,,,,,,11:00—01:00 11:00—01:00 01:00—03:00 11:00—01:00 11:00—01:00
Helsingborg Arena Restaurang,Mellersta Stenbocksgatan 14,,,,,,11:00—01:00 11:00—00:00
Helsingborgen,Furutorpsgatan 47,,,,,,11:00—03:00 11:00—00:30
Helsingborgs stadsteater,Karl Johans gata 1,,,,,,11:00—01:00 11:00—02:00 11:00—00:00 11:00—00:00 12:00—00:00
Helsingörskajen 10,Helsingörskajen 10,,,,,,11:00—01:00 11:00—00:00
Home Hotel Grand Helsingborg,Stortorget 8-12,,,,,,11:00—03:00 11:00—01:00 11:00—01:00
Hotel Linnéa,Prästgatan 4,,,,,,10:00—00:00 07:00—10:00
Hotell Stadsparken,Bruksgatan 40,,,,,,12:00—00:00 12:00—22:00
Hygge Restaurang & Bar,Sundstorget 5,,,,,,11:00—01:00 11:00—00:30 00:30—01:00
Hålan,Billeplatsen 1,,,,,,11:00—03:00 11:00—00:30
Hörnet,Roskildegatan 2,,,,,,11:00—01:00 11:00—00:30 11:00—01:00
